Fund Code,Receivership,Year,Quarter,Failure Date,Cash and Investments,Total Assets,Administrative Liabilities,FDIC Subrogated Deposit Claim,Other Claimant Liabilities,Net Worth (Deficit),Total Liabilities and Net Worth,FDIC Subrogated Claim,FDIC Subrogated Claim %,Subtotal - Proven Deposit Claims,Subtotal - Proven Deposit Claims %,Dividends Paid to Date,Dividends Paid to Date %,Total Unpaid Deposit Claims,Total Unpaid Deposit Claims %,General Creditor,General Creditor %,Subtotal- Other Claimants,Subtotal- Other Claimants %,Total Unpaid Other Claimants,Total Unpaid Other Claimants %
10306,"FIRST ARIZONA SAVINGS, FSB",2023,Q1,10/22/2010,2482.0,2482.0,40.0,29256.0,411.0,-27276.0,2482.0,186012,100,186336.0,100,157029.0,84.0,29307.0,16.0,411.0,100,411.0,100,411.0,100
10101,COMMUNITY BANK OF ARIZONA,2023,Q1,8/14/2009,1094.0,1094.0,0.0,27898.0,369.0,-27173.0,1094.0,132104,100,132104.0,100,104206.0,79.0,27898.0,21.0,369.0,100,369.0,100,369.0,100
10117,CORUS BANK NA,2023,Q1,09-11-2009,10234.0,12142.125,200.625,672.0,15887.25,-24446.0,12142.125,3343117,100,3352742.625,100,1942703.125,100.0,672.0,0.0,13747.875,100,16027.25,100,15887.25,100
10535,ERICSON STATE BANK,2023,Q1,2/14/2020,2328.0,2400.0,4.0,26140.0,92.0,-23836.0,2400.0,88991,100,88991.0,100,62850.0,71.0,26141.0,29.0,92.0,100,92.0,100,92.0,100
10317,EARTHSTAR BANK,2023,Q1,12-10-2010,5995.0,5995.0,0.0,28649.0,426.0,-23080.0,5995.0,98291,100,98291.0,100,69642.0,71.0,28649.0,29.0,426.0,100,426.0,100,426.0,100
10478,BANKS OF WISCONSIN,2023,Q1,5/31/2013,3059.0,3059.0,0.0,25685.0,306.0,-22932.0,3059.0,125255,100,125255.0,100,99570.0,79.0,25685.0,21.0,306.0,100,306.0,100,306.0,100
10412,COMMUNITY BANK OF ROCKMART,2023,Q1,11-10-2011,1198.0,1198.0,0.0,21531.0,86.0,-20419.0,1198.0,56724,100,56724.0,100,35193.0,62.0,21531.0,38.0,86.0,100,86.0,100,86.0,100
10058,CITIZENS COMMUNITY BANK,2023,Q1,05-01-2009,3163.0,3163.0,1.0,21462.0,1441.0,-19741.0,3163.0,40091,100,40091.0,100,18629.0,46.0,21462.0,54.0,1441.0,100,1441.0,100,1441.0,100
10441,CAROLINA FEDERAL SAVINGS BANK,2023,Q1,06-08-2012,1018.0,1018.0,0.0,18688.0,59.0,-17729.0,1018.0,53041,100,53041.0,100,34353.0,65.0,18688.0,35.0,59.0,100,59.0,100,59.0,100
10538,ALMENA STATE BANK,2023,Q1,10/23/2020,2785.0,2785.0,0.0,18804.0,338.0,-16357.0,2785.0,62525,100,62525.0,100,43721.0,70.0,18804.0,30.0,338.0,100,338.0,100,338.0,100
10481,SUNRISE BANK,2023,Q1,05-10-2013,1041.0,1041.0,0.0,17094.0,119.0,-16172.0,1041.0,56864,100,56864.0,100,39770.0,70.0,17094.0,30.0,119.0,100,119.0,100,119.0,100
10429,NEW CITY BANK,2023,Q1,03-09-2012,2899.0,4503.0,15.0,18629.0,23.0,-14165.0,4503.0,66012,100,66015.0,100,47385.0,72.0,18630.0,28.0,23.0,100,23.0,100,23.0,100
10534,CITY NATIONAL BANK NEW JERSEY,2023,Q1,11-01-2019,4148.0,4254.0,27.0,5184.0,11780.0,-12737.0,4254.0,110129,100,110129.0,100,104945.0,95.0,5184.0,5.0,11780.0,100,11780.0,100,11780.0,100
10433,FORT LEE FEDERAL SAVINGS BANK,2023,Q1,4/20/2012,2238.0,2238.0,0.0,14202.0,178.0,-12142.0,2238.0,46874,100,46874.0,100,32672.0,70.0,14202.0,30.0,178.0,100,178.0,100,178.0,100
10525,PROFICIO BANK,2023,Q1,03-03-2017,1652.0,2879.0,200.625,12787.0,191.0,-10349.0,2879.0,56608,100,56608.0,100,43821.0,77.0,12787.0,23.0,191.0,100,191.0,100,191.0,100
10054,FIRST BANK OF BEVERLY HILLS,2023,Q1,4/24/2009,1053.0,1053.0,10.0,9586.0,1761.0,-10315.0,1053.0,828454,100,829393.0,100,819796.0,99.0,9597.0,1.0,1761.0,100,1761.0,100,1761.0,100
10257,IDEAL FEDERAL SAVINGS BANK,2023,Q1,07-09-2010,1818.0,1818.0,0.0,5418.0,14.0,-4010.0,1818.0,5418,100,5814.0,100,0.0,28.5,5814.0,71.5,14.0,100,14.0,100,14.0,100
10166,INDEPENDENT BANKERS' BANK,2023,Q1,12/18/2009,1923.0,1923.0,6.0,0.0,0.0,1917.0,1923.0,743869,100,743871.0,100,743871.0,100.0,0.0,0.0,1709.0,100,1709.0,100,0.0,100
10217,TAMALPAIS BANK,2023,Q1,4/16/2010,3455.0,3455.0,200.625,0.0,0.0,2719.0,3455.0,462814,100,462814.0,100,462814.0,100.0,0.0,0.0,2103.0,100,2103.0,100,0.0,100
10216,RIVERSIDE NATL BANK OF FLORIDA,2023,Q1,4/16/2010,4454.0,4454.0,18.0,0.0,0.0,4436.0,4454.0,2861518,100,2861518.0,100,1942703.125,100.0,0.0,0.0,4322.0,100,4322.0,100,0.0,100
10115,PLATINUM COMMUNITY BANK,2023,Q1,09-04-2009,6275.0,6275.0,200.625,0.0,0.0,5847.0,6275.0,305758,100,305758.0,100,305758.0,100.0,0.0,0.0,859.0,100,859.0,100,0.0,100
10105,GUARANTY BANK,2023,Q1,8/21/2009,11981.25,12142.125,200.625,0.0,0.0,94983.0,12142.125,3343117,100,3352742.625,100,1942703.125,100.0,0.0,0.0,13747.875,100,16027.25,100,0.0,100
